"Date","Day","Shift","Comment","Staff","Instrument","Nozzle","Day0","Day1AM","Day1PM","Day2AM","Day2PM","Day3AM","Day3PM"
2026-03-09,"Monday","Morning","","","Aria","","","","","","","",""
2026-03-09,"Monday","Morning","","","Aurora","","","","","","","",""
2026-03-09,"Monday","Morning","","","LB","","","","","","","",""
2026-03-09,"Monday","Afternoon","","","Aria","","","","","","","",""
2026-03-09,"Monday","Afternoon","","","Aurora","","","","","","","",""
2026-03-09,"Monday","Afternoon","","","LB","","","","","","","",""
2026-03-10,"Tuesday","Morning","","","Aria","","","","","","","",""
2026-03-10,"Tuesday","Morning","","","Aurora","","","","","","","",""
2026-03-10,"Tuesday","Morning","","","LB","","","","","","","",""
2026-03-10,"Tuesday","Afternoon","","","Aria","","","","","","","",""
2026-03-10,"Tuesday","Afternoon","","","Aurora","","","","","","","",""
2026-03-10,"Tuesday","Afternoon","","","LB","","","","","","","",""
2026-03-11,"Wednesday","Morning","","","Aria","","","","","","","",""
2026-03-11,"Wednesday","Morning","","","Aurora","","","","","","","",""
2026-03-11,"Wednesday","Morning","","","LB","","","","","","","",""
2026-03-11,"Wednesday","Afternoon","","","Aria","","","","","","","",""
2026-03-11,"Wednesday","Afternoon","","","Aurora","","","","","","","",""
2026-03-11,"Wednesday","Afternoon","","","LB","","","","","","","",""
2026-03-12,"Thursday","Morning","","","Aria","","","","","","","",""
2026-03-12,"Thursday","Morning","","","Aurora","","","","","","","",""
2026-03-12,"Thursday","Morning","","","LB","","","","","","","",""
2026-03-12,"Thursday","Afternoon","","","Aria","","","","","","","",""
2026-03-12,"Thursday","Afternoon","","","Aurora","","","","","","","",""
2026-03-12,"Thursday","Afternoon","","","LB","","","","","","","",""
2026-03-13,"Friday","Morning","","","Aria","","","","","","","",""
2026-03-13,"Friday","Morning","","","Aurora","","","","","","","",""
2026-03-13,"Friday","Morning","","","LB","","","","","","","",""
2026-03-13,"Friday","Afternoon","","","Aria","","","","","","","",""
2026-03-13,"Friday","Afternoon","","","Aurora","","","","","","","",""
2026-03-13,"Friday","Afternoon","","","LB","","","","","","","",""
